system_index,date,WRS_PATH,WRS_ROW,CLOUD_COVER,IMAGE_QUALITY
LT05_191027_20000113,2000-01-13,191.0,27.0,25.0,9.0
LT05_191027_20000129,2000-01-29,191.0,27.0,61.0,9.0
LT05_191027_20000504,2000-05-04,191.0,27.0,85.0,9.0
LT05_191027_20000723,2000-07-23,191.0,27.0,33.0,9.0
LT05_191027_20000808,2000-08-08,191.0,27.0,62.0,9.0
LT05_191027_20000909,2000-09-09,191.0,27.0,5.0,9.0
LT05_191027_20001027,2000-10-27,191.0,27.0,65.0,9.0
LT05_191027_20001214,2000-12-14,191.0,27.0,80.0,9.0
LT05_191027_20001230,2000-12-30,191.0,27.0,72.0,9.0
LT05_191027_20010115,2001-01-15,191.0,27.0,2.0,9.0
LT05_191027_20010131,2001-01-31,191.0,27.0,53.0,9.0
LT05_191027_20010523,2001-05-23,191.0,27.0,39.0,9.0
LT05_191027_20010608,2001-06-08,191.0,27.0,50.0,7.0
LT05_191027_20010624,2001-06-24,191.0,27.0,5.0,9.0
LT05_191027_20010726,2001-07-26,191.0,27.0,54.0,9.0
LT05_191027_20010827,2001-08-27,191.0,27.0,24.0,9.0
LT05_191027_20010912,2001-09-12,191.0,27.0,93.0,9.0
LT05_191027_20020118,2002-01-18,191.0,27.0,24.0,9.0
LT05_191027_20020203,2002-02-03,191.0,27.0,3.0,9.0
LT05_191027_20020219,2002-02-19,191.0,27.0,70.0,9.0
LT05_191027_20020307,2002-03-07,191.0,27.0,100.0,9.0
LT05_191027_20020323,2002-03-23,191.0,27.0,66.0,9.0
LT05_191027_20020611,2002-06-11,191.0,27.0,30.0,9.0
LT05_191027_20020627,2002-06-27,191.0,27.0,16.0,9.0
LT05_191027_20030630,2003-06-30,191.0,27.0,3.0,9.0
LT05_191027_20030716,2003-07-16,191.0,27.0,7.0,9.0
LT05_191027_20030801,2003-08-01,191.0,27.0,88.0,9.0
LT05_191027_20030817,2003-08-17,191.0,27.0,30.0,9.0
LT05_191027_20030902,2003-09-02,191.0,27.0,83.0,9.0
LT05_191027_20030918,2003-09-18,191.0,27.0,1.0,9.0
LT05_191027_20031004,2003-10-04,191.0,27.0,81.0,9.0
LT05_191027_20031020,2003-10-20,191.0,27.0,86.0,9.0
LT05_191027_20040108,2004-01-08,191.0,27.0,21.0,9.0
LT05_191027_20040124,2004-01-24,191.0,27.0,1.0,9.0
LT05_191027_20040209,2004-02-09,191.0,27.0,93.0,9.0
LT05_191027_20040225,2004-02-25,191.0,27.0,6.0,9.0
LT05_191027_20040312,2004-03-12,191.0,27.0,26.0,9.0
LT05_191027_20040515,2004-05-15,191.0,27.0,66.0,9.0
LT05_191027_20040531,2004-05-31,191.0,27.0,23.0,9.0
LT05_191027_20040718,2004-07-18,191.0,27.0,13.0,9.0
LT05_191027_20040803,2004-08-03,191.0,27.0,42.0,9.0
LT05_191027_20040819,2004-08-19,191.0,27.0,1.0,9.0
